8	3,172		7,704	
16	6,075		9,015
32	12,523		14,188
64	25,876		29,651
128	51,406		53,067
256	103,864		107,986
512	210.352		212,364
1024	417,401		433,882
2048	439,198		602,342
4096	569,621		600,901
8192	547,531		619,772
16536	557,883		592,827
32768	624.088		651,961
65536	617,819		601,301
